,idea,TP,scientists_invested,times_invested,avg_k,total_effort (marginal),prop_invested,total_pr,total_ar
89,89,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90,3,1.0,1.0,17.68,14.854346990498058,0.02475724498416343,70.1,66.03
91,91,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,3,1.0,2.0,16.84,20.161254663616297,0.03360209110602716,68.33,67.97
93,93,3,1.0,1.0,18.07,16.412110380367814,0.027353517300613025,92.98,97.19
94,94,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95,3,1.0,1.0,16.59,1.503328782680338,0.0025055479711338967,45.71,41.56
96,96,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,3,21.0,43.0,20.49,598.5640815079762,0.9976068025132937,9585.12,9607.29
98,98,3,1.0,1.0,11.94,2.578194310662287,0.004296990517770478,43.9,43.87
99,99,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,3,1.0,1.0,21.2,14.706874261507018,0.024511457102511697,80.07,76.0
101,101,3,18.0,38.0,14.89,589.3056503707191,0.9821760839511986,9590.02,9520.42
102,102,3,1.0,2.0,17.86,20.138527079177127,0.03356421179862854,75.84,68.77
103,103,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
